Region_Name,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24,Month 25,Month 26,Month 27,Month 28,Month 29,Month 30,Month 31,Month 32,Month 33,Month 34,Month 35,Month 36,Month 37,Month 38,Month 39,Month 40,Month 41,Month 42,Month 43,Month 44,Month 45,Month 46,Month 47,Month 48,Month 49,Month 50,Month 51,Month 52,Month 53,Month 54,Month 55,Month 56,Month 57,Month 58,Month 59,Month 60,Month 61,Month 62,Month 63,Month 64,Month 65,Month 66,Month 67,Month 68,Month 69,Month 70,Month 71,Month 72
Region 11,0.190577437,0.147165984,0.131250495,0.198793107,0.116737226,0.068929272,0.130646268,0.148420319,0.183311837,0.171889276,0.043037661,0.337597205,0.216068937,0.235923974,0.250325704,0.164549309,0.205727116,0.177714178,0.13796078,0.1102765,0.156762278,0.215848442,0.21754388,0.301753133,0.083601969,0.051968814,0.064316277,0.053039944,0.136274252,0.10960143,-0.030562975,0.069269372,0.223768122,0.183016104,0.046081308,0.156134354,0.227479361,0.250776659,0.251124875,0.256581168,0.405902203,0.259232659,0.21515763,0.31441892,0.37866138,0.546771734,0.344903297,0.355837939,0.266543382,0.367756842,0.350016723,0.418531779,0.254642944,0.382486891,0.364952808,0.239820689,0.334893486,0.381747634,0.325420835,0.300218918,0.27211771,0.215233991,0.28040076,0.312857969,0.319872741,0.327871339,0.170858516,0.187856591,0.261578798,0.340900196,0.317610002,0.331089759
Region 12,0.158608586,0.141043571,0.162525448,0.216700154,0.122395017,0.177543468,0.155851268,0.168864362,0.202592725,0.179853702,0.035214827,0.334428652,0.194843127,0.24137917,0.244711637,0.189291043,0.222939221,0.178583201,0.11215452,0.151250436,0.17722759,0.214232963,0.2194195,0.337759163,0.061598271,0.052867194,0.077681689,0.081554749,0.175711888,0.138192938,0.023563811,0.110619711,0.270846585,0.202816205,0.061619689,0.14565935,0.214251649,0.232832356,0.247320293,0.476930709,0.419052083,0.249860177,0.277405604,0.312007702,0.373323494,0.546216201,0.35162449,0.307961327,0.239481465,0.318155593,0.340609534,0.421421095,0.262664865,0.354855926,0.369742579,0.268603968,0.321737556,0.373457995,0.314967035,0.245477711,0.230391889,0.17312062,0.25491233,0.268154786,0.282844152,0.31362043,0.204248753,0.184250929,0.26319848,0.30555441,0.279245347,0.237762894
Region 13,0.16521729,0.159697613,0.175699377,0.238456235,0.143660939,0.151977074,0.150592867,0.150654801,0.241513386,0.204316364,0.050464894,0.281170762,0.216972767,0.346276114,0.348261051,0.189210653,0.193711133,0.151669994,0.19683026,0.09799864,0.154771522,0.251723038,0.213024645,0.283389633,0.058334875,0.04712769,0.074564724,0.083825529,0.158267912,0.117687687,0.035961855,0.115654771,0.242255356,0.202160498,0.090902191,0.165052136,0.231513507,0.216654084,0.243119293,0.550363912,0.374509799,0.266477026,0.242681139,0.316556926,0.363196205,0.532082522,0.34204236,0.269186387,0.233548235,0.316459436,0.379428764,0.409253813,0.292542791,0.319053337,0.38161593,0.287476251,0.327575263,0.392410964,0.307083734,0.222545321,0.196702777,0.199275148,0.254396786,0.282514556,0.290530152,0.292271305,0.198095818,0.201039878,0.290576762,0.304355522,0.281277536,0.181899791
Region 14,0.069157045,0.046175817,0.056705265,0.145197646,0.04278632,0.018750489,0.065123211,0.092155002,0.125996313,0.111912329,-0.08094859,0.118203564,0.083041964,0.175975166,0.162263729,0.129836475,0.161540283,0.08688566,0.133495786,0.068115787,0.105699765,0.172168556,0.140915381,0.158957602,-0.029823994,-0.024885873,-0.006846307,0.006357703,0.099999654,0.056035833,-0.043003797,0.042407977,0.159287937,0.131622352,-0.002627363,0.023019124,0.136751286,0.14796229,0.169685283,0.255922398,0.377526224,0.282810292,0.177395664,0.330122066,0.326440567,0.479211629,0.296621272,0.176142956,0.175199314,0.26839961,0.299610929,0.342049409,0.25420934,0.376946309,0.315143526,0.23032089,0.232666574,0.34640003,0.236616425,0.143334882,0.135760775,0.146257738,0.232275078,0.248753672,0.258158251,0.288887789,0.153617885,0.155526592,0.217543882,0.300479752,0.245921963,0.153942439
Region 15,0.157301506,0.159635342,0.511734098,0.665947765,0.136178698,0.181816626,0.212799356,0.187606906,0.239203288,0.22083498,0.04807935,0.219370603,0.253510661,0.38711932,0.649226571,0.221479204,0.241178213,0.194136734,0.254050758,0.122563207,0.181303858,0.272708516,0.236988448,0.303598993,0.097623248,0.111910282,0.166694108,0.182323213,0.263350391,0.220376914,0.079300518,0.200191413,0.313571747,0.262921896,0.163331081,0.147845831,0.288396683,0.355978825,0.408827856,0.570275194,0.460020383,0.363319816,0.287493997,0.432246619,0.403862493,0.6181718,0.425861409,0.323151732,0.35331408,0.443185639,0.545843801,0.502422663,0.427057311,0.459026716,0.481788875,0.362230581,0.415215328,0.521115406,0.453801286,0.319665779,0.299092395,0.367952705,0.402910053,0.465070828,0.457527093,0.438888616,0.355973534,0.314945871,0.448863801,0.48466484,0.386070831,0.312960381
Region 16,0.072315476,0.071109281,0.090473425,0.155938445,0.056538594,0.081028699,0.124972485,0.120577762,0.167549116,0.136317447,-0.060888219,0.143049883,0.100869105,0.183213102,0.193681212,0.150036092,0.159064258,0.175659028,0.13885338,0.105978616,0.122626649,0.162559428,0.160478423,0.186767864,-0.005742252,-0.003926259,0.00194606,-0.007751586,0.13223004,0.089022166,-0.01717006,0.057758602,0.163355397,0.147186511,-0.002673749,0.005876492,0.134305794,0.156170931,0.196647636,0.342055179,0.377350519,0.252823272,0.110558352,0.303168506,0.323603401,0.501949711,0.305266907,0.230397176,0.186600256,0.280776285,0.324831069,0.361983167,0.240017644,0.340228326,0.313933715,0.230037021,0.281842435,0.353197212,0.25596471,0.19155349,0.178731247,0.161614926,0.229368887,0.246948278,0.281872446,0.299852271,0.152866955,0.159830944,0.242593349,0.299086628,0.250032902,0.156046661
Region 17,0.024757369,0.050729348,0.054843447,0.155571028,0.031121997,-0.018067299,0.040921781,0.086378805,0.126070399,0.110570194,-0.107317934,0.123107104,0.0578773,0.15899295,0.172226784,0.078955435,0.148544197,0.102303685,0.129044545,0.066427959,0.103861011,0.133270142,0.132265605,0.141446336,-0.060953434,-0.036255247,-0.03332873,-0.003872171,0.109174933,0.063365801,-0.058565191,0.037788663,0.155034659,0.125058514,-0.020356277,-0.022030666,0.111774781,0.145849532,0.164300791,0.289591605,0.360982811,0.287965025,0.121039334,0.315529085,0.299690606,0.487323437,0.29741,0.172089881,0.169637288,0.261988129,0.2985168,0.34146974,0.25576332,0.339028824,0.28084905,0.212746159,0.241729515,0.318976586,0.219275424,0.112124282,0.118189903,0.125305434,0.209084671,0.241377331,0.244088915,0.306216589,0.196929819,0.161274216,0.199413464,0.304618413,0.234440966,0.112753071
Region 18,0.180025257,0.172871828,0.195426194,0.271052411,0.109780427,0.138643156,0.197495119,0.214974652,0.243382961,0.240296999,0.08972662,0.403339876,0.267073079,0.300488059,0.316641012,0.250138694,0.265180339,0.213807788,0.207198406,0.176321809,0.170273289,0.264655032,0.275905259,0.447279758,0.127332606,0.097660092,0.221164212,0.09649537,0.19439201,0.190045246,0.021983853,0.109036925,0.277615575,0.220906762,0.121968453,0.262606024,0.2707218,0.2863329,0.270487125,0.527324504,0.432076477,0.240667217,0.283826762,0.318670621,0.425777125,0.568402156,0.37992491,0.430624925,0.269394438,0.354898033,0.368148854,0.416864933,0.270892765,0.379888442,0.362952235,0.276212942,0.354273912,0.390979397,0.309541415,0.347914895,0.246134595,0.209528667,0.266502101,0.316793736,0.321011909,0.358922967,0.174797769,0.192203759,0.272426169,0.365064818,0.332352342,0.363807126
Region 19,0.206182792,0.182794917,0.231616127,0.285453697,0.120330084,0.160643814,0.193268098,0.196431449,0.261946708,0.260570726,0.077187805,0.348070619,0.244845176,0.326503362,0.346255158,0.196338855,0.27628699,0.20302399,0.196327577,0.130056943,0.198654201,0.290772461,0.277589956,0.361206476,0.114677045,0.081383188,0.166270465,0.149925722,0.20513053,0.166714656,0.024876495,0.145001231,0.298754597,0.235502342,0.115048643,0.240093804,0.297013875,0.266649743,0.292150489,0.553231298,0.424941661,0.349687547,0.272280493,0.355006106,0.418445151,0.560858783,0.363335887,0.359399943,0.268287337,0.343511228,0.411147062,0.433952711,0.270105187,0.383194927,0.395389131,0.248913306,0.344133702,0.417170963,0.329225529,0.287130913,0.234935464,0.210482551,0.2815329,0.321382978,0.337085295,0.348992459,0.258363503,0.203457287,0.306458727,0.344939928,0.315435205,0.275662047
Region 20,0.050629086,0.067779842,0.086470534,0.188781645,0.027149329,0.039297385,0.098471092,0.117331524,0.153693255,0.149478703,-0.077419134,0.125583621,0.110368292,0.160062696,0.19076556,0.171745699,0.182198914,0.169893831,0.147870864,-0.020498033,0.123928901,0.174580763,0.159655547,0.169707943,-0.050654033,-0.002788978,-0.029299485,0.004305796,0.119187385,0.071675543,0.037173987,0.057007409,0.182486995,0.130599958,-0.011387283,-0.024981483,0.115219574,0.140385652,0.181624944,0.34020716,0.365468079,0.275077346,0.214458014,0.310229263,0.328461098,0.496410091,0.321949447,0.183109346,0.171249808,0.267720382,0.321150411,0.358763802,0.273818154,0.333440033,0.324571844,0.217838238,0.288573076,0.318359504,0.252245473,0.131612807,0.142021545,0.150890602,0.217293198,0.241339779,0.266562147,0.303444915,0.113352436,0.181985824,0.230077533,0.293504432,0.268274368,0.1232182
Region 21,0.21253202,0.163495185,0.221174163,0.539269853,0.141479854,0.195564809,0.198033459,0.171844392,0.256054131,0.254238903,0.07998008,0.33510631,0.260114745,0.359764231,0.377976089,0.087824947,0.205856386,0.206203865,0.23099124,0.130359963,0.189318587,0.304147879,0.261250225,0.357897285,0.093055958,0.06345256,0.06043974,0.127412311,0.224637614,0.174862983,0.045161697,0.150056107,0.285160184,0.228667368,0.112841163,0.202321929,0.255001858,0.249079581,0.32115381,0.502858752,0.404321399,0.201307686,0.302745684,0.341328373,0.375819246,0.581180823,0.38521212,0.365110521,0.250071798,0.350435497,0.426666604,0.428297315,0.328531796,0.393654408,0.397023999,0.305893697,0.342418184,0.412708512,0.316178942,0.365185163,0.236213837,0.255438569,0.288280617,0.316922709,0.342569549,0.344175588,0.262492269,0.225672358,0.343537307,0.362766781,0.307110048,0.323832138
Region 22,0.137972838,0.135267924,0.185896694,0.180722923,0.097429765,0.177365732,0.16571726,0.189016391,0.220098145,0.183376047,0.009586334,0.273253363,0.200141348,0.260038164,0.270044642,0.190479303,0.226028714,0.236535991,0.184035339,0.113955299,0.199563202,0.224361813,0.215484039,0.277294192,0.075003148,0.052016956,0.041919396,-0.006967083,0.175788245,0.14549034,0.042027401,0.085446736,0.224143773,0.179985551,0.027130072,0.059980726,0.195301066,0.19309816,0.253357045,0.411397709,0.431211062,0.311949028,0.104951469,0.353585361,0.387477324,0.539790291,0.376911684,0.364490745,0.262059735,0.350941525,0.389451476,0.407883206,0.269960452,0.360273796,0.344817058,0.262221336,0.339075336,0.394300346,0.304488845,0.334444923,0.258928878,0.228838378,0.267014152,0.309351576,0.313078616,0.32804355,0.166414812,0.169380881,0.319846231,0.364383442,0.327114462,0.328829379
Region 23,0.075376852,0.082644665,0.163404055,0.174683202,0.068605552,0.048940391,0.099632943,0.119996222,0.174100774,0.153099544,-0.046292931,0.158151869,0.121035417,0.19687383,0.240272622,0.180396985,0.184922095,0.187448064,0.156783771,0.067287839,0.141896106,0.181130393,0.172865955,0.225562419,-0.005830782,0.033911829,0.024498061,0.002979084,0.148123838,0.101851595,0.00827409,0.087278407,0.199301577,0.146897877,0.012174856,-0.001934458,0.127273358,0.139584735,0.219641687,0.339298993,0.375070939,0.321680308,0.181155612,0.332796484,0.317099356,0.501389561,0.322113551,0.231456094,0.194617305,0.292477561,0.351346056,0.375290019,0.276217843,0.379337659,0.323951353,0.227429571,0.311655091,0.358028251,0.266145185,0.183095535,0.173913235,0.172902821,0.235326168,0.268466021,0.297813377,0.328648389,0.109378804,0.17206635,0.260901245,0.32387921,0.262432158,0.192560034
Region 24,0.172758982,0.152321065,0.220260064,0.282689465,0.117808211,0.210373236,0.170037034,0.189179367,0.250552834,0.22885481,0.06900456,0.274005831,0.209986573,0.282808572,0.315622185,0.20132887,0.262085569,0.219292924,0.248266275,0.202751776,0.159383246,0.271411469,0.23890102,0.397423995,0.096096606,0.089675104,0.054907805,0.120681954,0.227823618,0.177631574,0.025385507,0.109982373,0.308934406,0.207718382,0.113764269,0.211280341,0.242333752,0.263481774,0.301659775,0.519131353,0.445282924,0.313674667,0.307141885,0.371424583,0.398317469,0.573447994,0.378721735,0.402885324,0.28014114,0.370334653,0.432995396,0.463814512,0.297370271,0.380830806,0.391756479,0.310279612,0.370524326,0.425266961,0.344065868,0.369656437,0.246742072,0.253295007,0.299669219,0.3543521,0.359949574,0.366035668,0.225186314,0.201908321,0.361891825,0.392201401,0.340687217,0.334837337
Region 25,3.587049486,3.001145112,3.02541785,2.345320751,2.015708101,1.308849863,1.456908033,2.69121784,2.275543572,3.421544664,3.279132237,6.846435881,3.432591609,1.822406142,2.711986232,1.499130823,2.69289619,1.537051898,2.094490458,1.658105391,0.830048334,2.569084161,2.519362397,6.284000585,2.340133332,1.661737793,0.866438557,1.429744235,1.880816001,2.030272829,0.559508719,0.745875035,1.425406541,1.691491638,2.881021088,6.398491989,3.093572409,2.095519455,2.242817284,2.494000859,1.802125227,0.229731314,1.151971437,1.804631612,1.731614474,1.920780383,2.100493143,7.150118561,2.035574681,2.189108025,2.025585793,1.982545557,1.384517384,1.296537251,2.381574874,1.478272473,1.660336999,1.721316734,2.14742031,7.023890268,3.19312868,2.590616964,1.874500805,2.299102249,2.03171092,1.765810944,0.508575122,2.108690103,2.0405272,2.493902466,2.893292433,6.870371093
Region 26,0.315295604,0.291904035,0.327416456,0.605174409,0.23462156,0.287453677,0.245561558,0.214548241,0.297827237,0.289431538,0.117281347,0.370461005,0.272542844,0.391276325,0.422534532,0.224070007,0.325928609,0.284668359,0.231520642,0.192863925,0.186395092,0.332540966,0.316092782,0.515536308,0.165813707,0.150303194,0.103950287,0.18391741,0.315420693,0.225881965,0.111595649,0.167662553,0.32161066,0.257971132,0.182301719,0.421456689,0.318420022,0.343407952,0.423786846,0.649400461,0.497985548,0.14951019,0.377310498,0.372036719,0.435465254,0.645122862,0.463573598,0.586437117,0.336738541,0.447890745,0.530617973,0.52970026,0.381622585,0.48546187,0.467747948,0.379865389,0.416536186,0.496330838,0.397123763,0.683020159,0.331876101,0.342308773,0.409186598,0.430624045,0.444397008,0.456352401,0.291337101,0.271026204,0.402189434,0.450291268,0.39455155,0.500067211
Region 27,0.873199879,0.717435195,0.704959808,0.60029887,0.655693346,0.622697662,0.602326278,0.727149649,0.709974392,0.879394998,0.680863368,1.563513925,0.972021841,0.82951097,1.013475224,0.826692757,0.778445298,0.81015336,0.575019424,0.32380044,0.815208451,0.887272576,0.966595958,1.479620297,0.729507015,0.58256649,0.48993923,0.031285999,0.438548902,0.546534578,0.302910009,0.423778367,0.440592008,0.528876729,0.495775598,0.479814459,0.464713855,0.39627023,0.651910714,0.617838675,0.912893197,0.484822827,0.492000321,0.698745249,0.71826205,0.916273566,0.82545473,1.239976459,0.734540201,0.862140698,0.837069127,0.807951829,0.48913577,0.752583448,0.749860381,0.526713693,0.799894643,0.841603834,0.748122935,1.10465286,0.875729897,0.75967582,0.734582947,0.806676025,0.74355838,0.635704808,0.027891434,0.505117846,0.668341958,0.799770236,0.919473262,1.129252198
Region 28,0.157227119,0.128891595,0.444618014,0.375265621,0.08424597,0.167515787,0.206233464,0.208589623,0.233160103,0.245217113,0.049176714,0.245627336,0.212925882,0.312052395,0.363694839,0.156892659,0.217874771,0.208242782,0.253635377,0.130054485,0.186793889,0.287555319,0.237334337,0.281250672,0.049791327,0.044848308,0.106176314,0.128758464,0.24448012,0.20596207,0.099055655,0.131967795,0.290122263,0.23128106,0.17288627,0.145966966,0.253207778,0.259110074,0.354481801,0.513003778,0.406263621,0.302127709,0.289109596,0.386448522,0.38327393,0.589676816,0.399194344,0.295203872,0.255391086,0.346975771,0.454139096,0.432154791,0.362688841,0.372918666,0.407046171,0.304797175,0.358056949,0.425646078,0.336000912,0.269484024,0.21153065,0.257220967,0.275239032,0.3350403,0.336768724,0.367544271,0.175232501,0.236805699,0.338758985,0.361335882,0.297547551,0.260618424
Region 29,0.282546998,0.217565508,0.294857474,0.313095111,0.21324415,0.252966416,0.22216317,0.266060779,0.295177967,0.307101328,0.172890496,0.450735833,0.336893885,0.360346792,0.407129448,0.115027351,0.303775447,0.238600866,0.275342802,0.175802066,0.333289093,0.369558837,0.337340825,0.427776534,0.193752084,0.144324449,0.111487399,0.166612464,0.282515657,0.255402811,0.185978387,0.157920021,0.292910167,0.270666181,0.236414153,0.294705425,0.397212183,0.360593159,0.387033207,0.558052969,0.479139331,0.320010577,0.293057762,0.418983695,0.416960114,0.652067083,0.470892697,0.484820885,0.338726594,0.469746173,0.505915012,0.511715237,0.352484708,0.456430634,0.452814622,0.34327302,0.404803069,0.468622744,0.404181844,0.440161582,0.35767849,0.330409024,0.35344053,0.374763681,0.38528907,0.396249117,0.2952048,0.268309532,0.392175094,0.427648096,0.39540456,0.450315936
Region 30,0.164004893,0.22485063,0.219885592,0.235293956,0.118272091,0.180668974,0.180463828,0.217680034,0.231632683,0.23440494,0.090335648,0.348081946,0.257616377,0.284110741,0.366949801,0.272925536,0.254979748,0.240954328,0.203415283,0.109077467,0.245421874,0.283603621,0.280634188,0.356069051,0.097528004,0.13636626,0.03422475,0.172679359,0.239020254,0.226268171,0.182352324,0.149357835,0.248795366,0.21861254,0.155637229,0.215560276,0.332929902,0.266084301,0.2984502,0.443005434,0.489329803,0.361714896,0.173523431,0.397672723,0.396271732,0.573470586,0.396130531,0.415160759,0.289257969,0.389889539,0.455660272,0.458053074,0.304673166,0.385071606,0.371187648,0.320192574,0.39489812,0.448294069,0.366736468,0.431038038,0.299858492,0.314773555,0.313944696,0.362517133,0.3763998,0.36636733,0.209428978,0.223896137,0.365591727,0.434389464,0.39178874,0.421230655
